incidentid,alertid,detectorid,alerttitle,category,incidentgrade,entitytype,filename,folderpath,resourceidname,osfamily,osversion,countrycode,state,city,year,month,day,hour,evidencerole_related
46,376629,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,5,False
17504,757941,2,2,1,0,14,0,4,3586,5,66,242,1445,10630,2024,6,11,11,True
45702,45032,1,1,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,3,2,False
375,169963,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,10,5,True
144844,118616,6,5,9,2,10,289573,117668,3586,5,66,242,1445,10630,2024,6,13,15,True
5447,12744,1,1,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,4,False
276,528176,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,20,False
5255,3666,38,25,8,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,16,False
381,5319,51,3279,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,11,9,False
4602,1745,199,24,2,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,13,False
19851,660282,25,17,9,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,5,16,True
394249,427886,223,202,15,2,12,289573,117668,3586,5,66,242,1445,10630,2024,6,11,10,True
628,36262,180,15309,6,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,3,4,True
116739,1126839,236,71223,6,0,8,289573,117668,3586,5,66,242,1445,10630,2024,6,7,17,False
216,64433,30,5447,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,4,1,False
8629,8496,34,4740,6,0,5,14799,28,3586,5,66,242,1445,10630,2024,6,12,19,False
449,151746,74,55,1,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,4,6,True
136,1202920,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8,False
52,10352,125,5525,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,12,9,False
135653,187781,5,468,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,21,False
60285,1161589,2657,8667,12,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,14,False
146,1256190,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,8,13,False
485051,1402500,5,39,15,2,7,289573,117668,3586,5,66,242,1445,10630,2024,6,12,7,True
75506,100791,1,1,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,14,16,True
85918,49869,40,18121,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15,False
4790,24634,47,30,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,13,5,True
11558,7722,18,14,6,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,5,False
594101,1671417,5,49,15,0,2,289573,117668,3586,5,66,242,1445,10630,2024,6,12,9,False
184342,240787,10,8,9,0,5,218562,117668,3586,5,66,242,1445,10630,2024,6,12,14,True
262,530830,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,5,12,True
59,522682,7,6,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,4,2,True
20642,399584,19,15,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,1,False
304,161244,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,12,False
30308,281035,2,2,1,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,12,10,False
17152,625050,3,4,15,2,8,289573,117668,3586,5,66,242,1445,10630,2024,6,13,14,False
95,540020,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,9,10,False
55716,25691,130,110,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,22,False
1747,280,8,7,9,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,21,15,False
71757,48212,1,1,9,2,10,289573,117668,3586,5,66,242,1445,10630,2024,6,7,0,True
8322,147028,1047,1829,2,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,2,False
134612,275787,2,2,1,0,8,289573,117668,3586,0,0,242,1445,10630,2024,6,3,10,False
51496,1158318,1392,32983,4,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,3,9,True
9878,90522,62,46,5,2,14,4027,3524,3586,5,66,242,1445,10630,2024,6,3,7,True
5310,757,1,1,9,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,3,3,True
100,1257799,7,6,9,2,7,289573,117668,3586,5,66,12,12,9,2024,6,11,19,True
20837,485579,0,0,9,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,16,1,False
553,414464,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,3,6,True
60991,49806,824,18002,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,10,14,False
198550,340731,5,3474,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,23,False
139,1329359,7,6,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,18,True
304,126425,14,12,2,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,14,False
23831,212567,75,4983,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15,False
37,997136,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,4,9,True
287,452,8,7,9,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,29,8,False
9445,27326,1,1,9,2,9,289573,117668,3586,5,66,242,1445,10630,2024,6,14,14,False
13724,739686,2,2,1,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,4,23,True
30441,8658,763,492,2,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,24,5,True
158976,89924,3,4,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,13,11,True
82554,49567,45,5875,6,0,5,84928,1794,3586,5,66,242,1445,10630,2024,6,5,15,False
48847,33966,1,1,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,3,13,True
84,385617,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20,True
100054,219200,1,1,9,0,5,4394,117668,3586,5,66,242,1445,10630,2024,6,7,17,True
236,49355,20,8322,6,1,5,36834,537,3586,5,66,242,1445,10630,2024,6,4,14,False
37,909266,4,3,9,2,7,289573,117668,3586,5,66,33,1445,10630,2024,6,5,7,True
21109,620382,3,231,15,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,21,False
28865,50446,1,1,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,9,2,True
2099,585737,5,129,15,0,2,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13,False
29,1251831,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,7,False
20,32531,1264,13900,6,2,5,60366,31161,3586,5,66,242,1445,10630,2024,6,4,8,False
174,86613,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,11,False
134,1333746,7,6,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,22,True
36344,96278,6,5,9,2,9,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17,False
13838,11021,15,13,6,0,5,221611,7418,3586,5,66,242,1445,10630,2024,6,11,17,False
437,1150521,139,120,9,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,12,2,True
31,414648,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,9,17,True
425458,943603,0,0,9,1,7,289573,117668,3586,5,66,2,2,14,2024,6,13,1,True
525870,1474027,25,17,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,7,14,False
10124,8893,50,36,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,13,16,False
166,330328,0,0,9,2,7,289573,117668,3586,5,66,41,61,72,2024,6,7,18,True
34370,311940,0,0,9,2,7,289573,117668,3586,5,66,3,5,21,2024,6,8,16,True
381,49220,51,11598,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,11,17,False
1203,498611,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,15,False
26066,194948,3,4,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,6,6,True
592,2426,150,124,2,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13,False
9823,3427,1235,105,6,1,18,289573,117668,3586,5,66,242,1445,10630,2024,5,28,3,True
213,505837,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,21,True
14414,673510,5526,1068,12,0,19,289573,117668,3586,5,66,242,1445,10630,2024,5,29,13,False
942,4031,57,29,1,1,18,289573,117668,3586,5,66,242,1445,10630,2024,6,15,10,True
3270,51274,1,1,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,9,2,False
4549,3170,262,240,1,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,9,21,True
29,931170,4,3,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,9,False
405,166228,0,0,9,2,4,289573,117668,3586,5,66,242,1445,10630,2024,6,8,13,True
329,1034,21,70,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,5,25,9,True
54653,84493,1,1,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,12,19,True
367602,1146281,76,56,15,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,16,3,False
4925,48589,13,11,9,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,17,False
3333,14741,10,8,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,15,False
10410,3907,34,643,6,0,5,582,5,3586,5,66,242,1445,10630,2024,6,12,14,False
5467,11645,71,51,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,5,27,8,True
146514,1135461,86,81775,6,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,13,17,False
116,966950,0,0,9,2,7,289573,117668,3586,5,66,8,10,7,2024,6,9,2,True
23860,6895,526,573,2,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17,False
60,1240955,0,0,9,2,7,289573,117668,3586,5,66,0,43,243,2024,6,5,17,True
3933,298064,2480,7575,15,0,8,289573,117668,3586,5,66,242,1445,10630,2024,6,8,14,False
317,74190,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,3,18,True
160425,1441163,55,150,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,8,19,False
292,507477,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,15,False
10475,126644,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,4,3,True
223,28047,20,4467,6,1,7,289573,117668,3586,5,66,242,1445,10630,2024,6,5,18,True
4160,34128,911,76,12,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,15,18,True
259,105360,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,4,False
103902,87090,2,2,1,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15,True
29568,358611,6,5,9,1,10,289573,117668,3586,5,66,242,1445,10630,2024,6,11,15,True
244,167230,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,23,True
776,195497,3,4,15,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,13,False
10866,7734,78,57,6,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,10,23,False
6139,35178,10,8,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,11,3,True
497,212119,409,4044,6,1,5,2514,1885,3586,5,66,242,1445,10630,2024,6,10,4,False
114,1020548,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,6,21,True
15726,28971,1,1,9,2,11,289573,117668,3586,5,66,242,1445,10630,2024,6,3,14,True
703,6779,52,10,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,30,22,True
3735,131066,2,2,1,0,8,289573,117668,3586,0,0,242,1445,10630,2024,6,3,22,False
70,1243929,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,11,True
14093,10120,34,2181,6,0,5,395,5,3586,5,66,242,1445,10630,2024,6,11,18,False
363,973441,19,15,9,2,4,289573,117668,3586,5,66,242,1445,10630,2024,6,3,19,True
50748,30312,32,13520,6,2,5,34902,0,3586,5,66,242,1445,10630,2024,6,13,13,False
129941,342135,5,31,15,1,2,289573,117668,3586,5,66,242,1445,10630,2024,6,8,16,False
492286,1339961,0,0,9,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,12,15,False
129,322253,7,6,9,2,7,289573,117668,3586,5,66,1,0,0,2024,6,7,4,True
5347,3541,38,25,8,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,6,False
294,178333,4,3,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,8,False
5871,4866,83,61,9,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,14,19,True
44,1301465,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,9,False
91002,90649,65,16317,6,0,5,44168,0,3586,5,66,242,1445,10630,2024,6,12,21,False
6887,12804,15,13,6,0,5,259820,108296,3586,5,66,242,1445,10630,2024,6,6,16,False
105195,229798,55,39787,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,11,20,False
328282,136395,39,26,5,0,5,3,6,3586,5,66,242,1445,10630,2024,6,12,21,True
62036,424714,426,452,2,2,7,289573,117668,3586,5,66,242,1445,10630,2024,6,14,0,True
123796,97604,13,11,9,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8,False
43945,92568,46,941,6,0,5,523,329,3586,5,66,242,1445,10630,2024,6,3,19,False
550,1910,11,9,9,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,10,16,False
260,308173,7,6,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,5,1,True
479290,1376105,5,39,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,9,False
832,52910,6,5,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,14,False
356415,1106771,65,71654,6,0,5,231128,0,3586,5,66,242,1445,10630,2024,6,12,18,False
970,110886,46,28822,6,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,21,False
243467,1048667,0,0,9,1,4,289573,117668,3586,5,66,242,1445,10630,2024,6,13,19,True
60725,142306,3,4,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,5,0,True
54204,363374,6,5,9,2,9,289573,117668,3586,5,66,242,1445,10630,2024,6,3,21,False
53753,14396,44,118,15,1,8,289573,117668,3586,5,66,242,1445,10630,2024,6,11,14,False
31280,966097,4,3,9,1,7,289573,117668,3586,5,66,0,1445,10630,2024,6,4,12,True
328745,1395592,5,2734,15,2,2,289573,117668,3586,5,66,242,1445,10630,2024,6,10,23,False
3293,12028,1,1,9,1,10,289573,117668,3586,5,66,242,1445,10630,2024,6,13,2,True
152626,292692,60,41947,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,5,10,False
4473,252717,2,2,1,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,11,False
612,126045,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,10,False
917,14393,31,386,11,0,5,65003,126,3586,5,66,242,1445,10630,2024,6,11,15,True
176549,237522,6,5,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,5,13,True
146386,232632,1,1,9,2,11,289573,117668,3586,5,66,242,1445,10630,2024,6,3,11,True
138,896288,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,10,19,False
31,937557,4,3,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,9,22,False
13702,55822,3,4,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8,True
1339,739319,2,2,1,2,8,289573,117668,3586,0,0,242,1445,10630,2024,6,12,21,False
4075,132663,105,13875,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,12,3,False
2490,1413,17,82,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,31,8,True
3377,348218,5,97,15,0,2,289573,117668,3586,5,66,242,1445,10630,2024,6,13,15,False
109663,220891,1,1,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,4,17,False
163151,220796,1,1,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,9,5,True
6816,6851,18,14,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,10,22,False
115,530914,7,6,9,2,7,289573,117668,3586,5,66,0,34,254,2024,6,6,16,True
218501,797619,1345,69396,6,0,5,234325,0,3586,5,66,242,1445,10630,2024,6,10,15,False
100465,66391,6,5,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,22,False
172951,68148,219,196,9,1,9,289573,117668,3586,5,66,242,1445,10630,2024,6,12,22,False
176654,246827,2,2,1,0,8,289573,117668,3586,0,0,242,1445,10630,2024,6,6,12,False
679,2186,23,16,1,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,8,14,True
129060,1702702,1070,1713,8,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,29,17,False
303,42822,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,7,False
2020,1237,17,712,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,21,18,True
137044,137152,1,1,9,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,8,2,True
169,332760,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,4,12,True
20965,20924,92,29,1,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,15,7,True
33515,469551,73,54,9,1,2,289573,117668,3586,5,66,242,1445,10630,2024,6,10,2,False
3269,1822,128,1513,1,1,18,289573,117668,3586,5,66,242,1445,10630,2024,5,23,13,True
40,1222416,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13,False
26,26144,28,19,9,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,14,16,True
672,314131,7,6,9,0,3,289573,117668,3586,5,66,242,1445,10630,2024,6,7,10,True
392,312579,0,0,9,2,7,289573,117668,3586,5,66,4,4,16,2024,6,10,13,True
41,1335250,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17,False
533190,553471,9,32,5,1,2,289573,117668,3586,5,66,242,1445,10630,2024,6,3,15,False
145,378952,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,13,False
211,324121,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,9,False
97960,111864,136,13192,6,1,8,289573,117668,3586,5,66,242,1445,10630,2024,6,13,2,False
12052,1654592,82,60,9,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,5,15,True
244,318727,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,9,3,False
59348,224535,1,1,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,10,23,True
19033,136925,327,325,4,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,7,18,True
62,1229354,7,6,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,9,13,False
1051,2897,22,10,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,5,26,18,True
91939,1547185,419,444,5,0,8,289573,117668,3586,5,66,242,1445,10630,2024,6,13,8,False
482,612161,3,4,15,0,8,289573,117668,3586,5,66,242,1445,10630,2024,6,7,3,False
216,99451,30,26982,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,3,15,False
251,721150,3,4,15,2,7,289573,117668,3586,5,66,242,1445,10630,2024,6,7,6,True
703,5477,52,10,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,31,1,True
1476,645500,112,4174,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,10,12,False
157,810157,0,0,9,2,4,289573,117668,3586,5,66,242,1445,10630,2024,6,5,4,True
2013,1352,16,52,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,20,6,True
11349,4389,1,1,9,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,18,False
328128,296643,39,26,5,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,2,True
18708,5814,15,13,6,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,12,False
15637,11054,104,5767,6,0,5,225621,0,3586,5,66,242,1445,10630,2024,6,7,12,False
3582,116957,13,11,9,1,10,289573,117668,3586,5,66,242,1445,10630,2024,6,9,5,True
229014,258611,3,4,15,2,18,289573,117668,3586,5,66,242,1445,10630,2024,6,4,2,True
9502,13821,72,53,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,26,16,True
318,184077,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,8,12,True
3275,91360,112,9728,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,12,20,False
3777,3013,29,20,8,2,7,289573,117668,3586,5,66,242,1445,10630,2024,5,23,0,True
411399,843306,0,0,9,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,14,False
4440,980,21,146,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,6,2,0,True
58991,36505,147,5296,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,14,16,False
95,409298,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,9,11,True
6914,5064,201,65,6,0,5,248166,99838,3586,5,66,242,1445,10630,2024,6,6,12,True
399196,833406,0,0,9,1,4,289573,117668,3586,5,66,242,1445,10630,2024,6,3,6,True
389,823549,4,3,9,2,7,289573,117668,3586,5,66,0,1445,10630,2024,6,4,16,True
473239,588101,5,21,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,13,5,False
41004,79655,6,5,9,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,12,0,True
416493,955838,0,0,9,1,4,289573,117668,3586,5,66,242,1445,10630,2024,6,10,9,True
84170,219662,1,1,9,2,10,289573,117668,3586,5,66,242,1445,10630,2024,6,15,0,True
32033,28425,1,1,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,18,False
129,322886,14,12,2,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,22,False
9022,11927,15,13,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,12,22,False
33836,24664,96,75,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,11,21,False
7601,13711,1,1,9,0,10,289573,117668,3586,5,66,242,1445,10630,2024,6,9,1,True
454530,1281668,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,18,False
36653,286205,2,2,1,2,14,0,2,3586,5,66,242,1445,10630,2024,6,11,19,True
146,1201021,7,6,9,2,7,289573,117668,3586,5,66,17,148,244,2024,6,6,20,True
267559,198291,3,135,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,9,11,True
173,1249029,14,12,2,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,4,16,False
73,1296766,0,0,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,8,19,False
10186,63558,733,1001,3,0,14,1184,2088,3586,5,66,242,1445,10630,2024,6,10,14,True
10436,4290,97,2772,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,13,1,False
11796,1154412,1793,5311,9,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,6,20,False
15511,715351,3,4,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,21,False
1113,273259,2,2,1,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,6,False
