incidentid,alertid,detectorid,alerttitle,category,incidentgrade,entitytype,evidencerole,filename,folderpath,resourceidname,osfamily,osversion,countrycode,state,city,year,month,day,hour
125436,462477,6,5,initialaccess,benignpositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,18
2640,327,8,7,initialaccess,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,29,23
478,939479,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,14
2442,1198,16,502,impact,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,21,5
485993,1408328,5,39,suspiciousactivity,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,13,0
211,160158,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8
251904,1009993,0,0,initialaccess,falsepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,16
63837,10597,20,3507,exfiltration,falsepositive,mailbox,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20
203600,643809,24,30456,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,21
260,520211,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,39,62,58,2024,6,6,17
391638,1565403,9,32,execution,falsepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,22
2624,487,8,7,initialaccess,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,24,22
30133,239577,1,1,initialaccess,truepositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,16
688,3542,22,10,impact,falsepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,1,18
86074,573023,5,97,suspiciousactivity,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,5
520293,529009,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,0
518657,1381976,5,267,suspiciousactivity,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,13
33356,95969,6,5,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,17
2548,427,8,7,initialaccess,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,25,4
178669,580340,5,2409,suspiciousactivity,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,2
26726,1114326,58,43,exfiltration,falsepositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,1
77950,155901,1,1,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,19
11288,3523,15,13,exfiltration,benignpositive,file,impacted,125392,17280,3586,5,66,242,1445,10630,2024,6,11,13
155197,250634,2,2,commandandcontrol,benignpositive,process,related,0,2,3586,5,66,242,1445,10630,2024,6,5,12
46,376629,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,5
17504,757941,2,2,commandandcontrol,benignpositive,process,related,0,4,3586,5,66,242,1445,10630,2024,6,11,11
45702,45032,1,1,initialaccess,benignpositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,2
375,169963,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,10,5
144844,118616,6,5,initialaccess,truepositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,15
5447,12744,1,1,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,4
276,528176,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,20
5255,3666,38,25,impact,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,16
381,5319,51,3279,exfiltration,falsepositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,9
4602,1745,199,24,credentialaccess,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,13
19851,660282,25,17,initialaccess,falsepositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,16
394249,427886,223,202,suspiciousactivity,truepositive,malware,related,289573,117668,3586,5,66,242,1445,10630,2024,6,11,10
628,36262,180,15309,exfiltration,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,4
116739,1126839,236,71223,exfiltration,benignpositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,17
216,64433,30,5447,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,1
8629,8496,34,4740,exfiltration,benignpositive,file,impacted,14799,28,3586,5,66,242,1445,10630,2024,6,12,19
449,151746,74,55,commandandcontrol,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,6
136,1202920,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8
52,10352,125,5525,exfiltration,falsepositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,9
135653,187781,5,468,suspiciousactivity,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,21
60285,1161589,2657,8667,persistence,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,14
146,1256190,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,8,13
485051,1402500,5,39,suspiciousactivity,truepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,12,7
75506,100791,1,1,initialaccess,benignpositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,14,16
85918,49869,40,18121,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15
4790,24634,47,30,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,5
11558,7722,18,14,exfiltration,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,5
594101,1671417,5,49,suspiciousactivity,benignpositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,9
184342,240787,10,8,initialaccess,benignpositive,file,related,218562,117668,3586,5,66,242,1445,10630,2024,6,12,14
262,530830,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,12
59,522682,7,6,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,2
20642,399584,19,15,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,1
304,161244,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,12
30308,281035,2,2,commandandcontrol,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,10
17152,625050,3,4,suspiciousactivity,truepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,13,14
95,540020,7,6,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,9,10
55716,25691,130,110,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,22
1747,280,8,7,initialaccess,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,21,15
71757,48212,1,1,initialaccess,truepositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,7,0
8322,147028,1047,1829,credentialaccess,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,2
134612,275787,2,2,commandandcontrol,benignpositive,machine,impacted,289573,117668,3586,0,0,242,1445,10630,2024,6,3,10
51496,1158318,1392,32983,discovery,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,9
9878,90522,62,46,execution,truepositive,process,related,4027,3524,3586,5,66,242,1445,10630,2024,6,3,7
5310,757,1,1,initialaccess,falsepositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,3
100,1257799,7,6,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,12,12,9,2024,6,11,19
20837,485579,0,0,initialaccess,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,16,1
553,414464,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,6
60991,49806,824,18002,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,14
198550,340731,5,3474,suspiciousactivity,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,23
139,1329359,7,6,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,18
304,126425,14,12,credentialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,14
23831,212567,75,4983,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15
37,997136,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,9
287,452,8,7,initialaccess,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,29,8
9445,27326,1,1,initialaccess,truepositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,14,14
13724,739686,2,2,commandandcontrol,truepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,23
30441,8658,763,492,credentialaccess,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,24,5
158976,89924,3,4,suspiciousactivity,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,11
82554,49567,45,5875,exfiltration,benignpositive,file,impacted,84928,1794,3586,5,66,242,1445,10630,2024,6,5,15
48847,33966,1,1,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,13
84,385617,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20
100054,219200,1,1,initialaccess,benignpositive,file,related,4394,117668,3586,5,66,242,1445,10630,2024,6,7,17
236,49355,20,8322,exfiltration,falsepositive,file,impacted,36834,537,3586,5,66,242,1445,10630,2024,6,4,14
37,909266,4,3,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,33,1445,10630,2024,6,5,7
21109,620382,3,231,suspiciousactivity,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,21
28865,50446,1,1,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,2
2099,585737,5,129,suspiciousactivity,benignpositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13
29,1251831,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,7
20,32531,1264,13900,exfiltration,truepositive,file,impacted,60366,31161,3586,5,66,242,1445,10630,2024,6,4,8
174,86613,7,6,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,11
134,1333746,7,6,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,22
36344,96278,6,5,initialaccess,truepositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17
13838,11021,15,13,exfiltration,benignpositive,file,impacted,221611,7418,3586,5,66,242,1445,10630,2024,6,11,17
437,1150521,139,120,initialaccess,truepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,12,2
31,414648,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,17
425458,943603,0,0,initialaccess,falsepositive,ip,related,289573,117668,3586,5,66,2,2,14,2024,6,13,1
525870,1474027,25,17,initialaccess,benignpositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,14
10124,8893,50,36,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,13,16
166,330328,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,41,61,72,2024,6,7,18
34370,311940,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,3,5,21,2024,6,8,16
381,49220,51,11598,exfiltration,falsepositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,17
1203,498611,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,15
26066,194948,3,4,suspiciousactivity,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,6,6
592,2426,150,124,credentialaccess,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13
9823,3427,1235,105,exfiltration,falsepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,5,28,3
213,505837,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,21
14414,673510,5526,1068,persistence,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,29,13
942,4031,57,29,commandandcontrol,falsepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,15,10
3270,51274,1,1,initialaccess,benignpositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,9,2
4549,3170,262,240,commandandcontrol,benignpositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,21
29,931170,4,3,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,9
405,166228,0,0,initialaccess,truepositive,cloudlogonsession,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,13
329,1034,21,70,impact,falsepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,25,9
54653,84493,1,1,initialaccess,benignpositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,12,19
367602,1146281,76,56,suspiciousactivity,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,16,3
4925,48589,13,11,initialaccess,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,17
3333,14741,10,8,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,15
10410,3907,34,643,exfiltration,benignpositive,file,impacted,582,5,3586,5,66,242,1445,10630,2024,6,12,14
5467,11645,71,51,impact,falsepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,27,8
146514,1135461,86,81775,exfiltration,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,13,17
116,966950,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,8,10,7,2024,6,9,2
23860,6895,526,573,credentialaccess,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17
60,1240955,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,0,43,243,2024,6,5,17
3933,298064,2480,7575,suspiciousactivity,benignpositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,8,14
317,74190,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,18
160425,1441163,55,150,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,8,19
292,507477,7,6,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,15
10475,126644,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,3
223,28047,20,4467,exfiltration,falsepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,18
4160,34128,911,76,persistence,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,15,18
259,105360,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,4
103902,87090,2,2,commandandcontrol,truepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,7,15
29568,358611,6,5,initialaccess,falsepositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,11,15
244,167230,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,23
776,195497,3,4,suspiciousactivity,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,13
10866,7734,78,57,exfiltration,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,23
6139,35178,10,8,initialaccess,benignpositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,11,3
497,212119,409,4044,exfiltration,falsepositive,file,impacted,2514,1885,3586,5,66,242,1445,10630,2024,6,10,4
114,1020548,4,3,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,6,21
15726,28971,1,1,initialaccess,truepositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,14
703,6779,52,10,impact,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,30,22
3735,131066,2,2,commandandcontrol,benignpositive,machine,impacted,289573,117668,3586,0,0,242,1445,10630,2024,6,3,22
70,1243929,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,11
14093,10120,34,2181,exfiltration,benignpositive,file,impacted,395,5,3586,5,66,242,1445,10630,2024,6,11,18
363,973441,19,15,initialaccess,truepositive,cloudlogonsession,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,19
50748,30312,32,13520,exfiltration,truepositive,file,impacted,34902,0,3586,5,66,242,1445,10630,2024,6,13,13
129941,342135,5,31,suspiciousactivity,falsepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,8,16
492286,1339961,0,0,initialaccess,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,15
129,322253,7,6,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,1,0,0,2024,6,7,4
5347,3541,38,25,impact,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,6
294,178333,4,3,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,8
5871,4866,83,61,initialaccess,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,14,19
44,1301465,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,9
91002,90649,65,16317,exfiltration,benignpositive,file,impacted,44168,0,3586,5,66,242,1445,10630,2024,6,12,21
6887,12804,15,13,exfiltration,benignpositive,file,impacted,259820,108296,3586,5,66,242,1445,10630,2024,6,6,16
105195,229798,55,39787,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,20
328282,136395,39,26,execution,benignpositive,file,related,3,6,3586,5,66,242,1445,10630,2024,6,12,21
62036,424714,426,452,credentialaccess,truepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,14,0
123796,97604,13,11,initialaccess,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8
43945,92568,46,941,exfiltration,benignpositive,file,impacted,523,329,3586,5,66,242,1445,10630,2024,6,3,19
550,1910,11,9,initialaccess,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,16
260,308173,7,6,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,1
479290,1376105,5,39,suspiciousactivity,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,9
832,52910,6,5,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,14
356415,1106771,65,71654,exfiltration,benignpositive,file,impacted,231128,0,3586,5,66,242,1445,10630,2024,6,12,18
970,110886,46,28822,exfiltration,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,21
243467,1048667,0,0,initialaccess,falsepositive,cloudlogonsession,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,19
60725,142306,3,4,suspiciousactivity,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,0
54204,363374,6,5,initialaccess,truepositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,21
53753,14396,44,118,suspiciousactivity,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,14
31280,966097,4,3,initialaccess,falsepositive,ip,related,289573,117668,3586,5,66,0,1445,10630,2024,6,4,12
328745,1395592,5,2734,suspiciousactivity,truepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,23
3293,12028,1,1,initialaccess,falsepositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,2
152626,292692,60,41947,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,10
4473,252717,2,2,commandandcontrol,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,11
612,126045,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,10
917,14393,31,386,malware,benignpositive,file,related,65003,126,3586,5,66,242,1445,10630,2024,6,11,15
176549,237522,6,5,initialaccess,benignpositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,5,13
146386,232632,1,1,initialaccess,truepositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,3,11
138,896288,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,19
31,937557,4,3,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,9,22
13702,55822,3,4,suspiciousactivity,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8
1339,739319,2,2,commandandcontrol,truepositive,machine,impacted,289573,117668,3586,0,0,242,1445,10630,2024,6,12,21
4075,132663,105,13875,exfiltration,falsepositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,3
2490,1413,17,82,impact,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,31,8
3377,348218,5,97,suspiciousactivity,benignpositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,13,15
109663,220891,1,1,initialaccess,benignpositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,4,17
163151,220796,1,1,initialaccess,benignpositive,mailcluster,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,5
6816,6851,18,14,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,22
115,530914,7,6,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,0,34,254,2024,6,6,16
218501,797619,1345,69396,exfiltration,benignpositive,file,impacted,234325,0,3586,5,66,242,1445,10630,2024,6,10,15
100465,66391,6,5,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,11,22
172951,68148,219,196,initialaccess,falsepositive,mailbox,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,22
176654,246827,2,2,commandandcontrol,benignpositive,machine,impacted,289573,117668,3586,0,0,242,1445,10630,2024,6,6,12
679,2186,23,16,commandandcontrol,truepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,14
129060,1702702,1070,1713,impact,falsepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,5,29,17
303,42822,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,7
2020,1237,17,712,impact,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,21,18
137044,137152,1,1,initialaccess,benignpositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,8,2
169,332760,0,0,initialaccess,truepositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,12
20965,20924,92,29,commandandcontrol,benignpositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,6,15,7
33515,469551,73,54,initialaccess,falsepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,2
3269,1822,128,1513,commandandcontrol,falsepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,5,23,13
40,1222416,0,0,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,13
26,26144,28,19,initialaccess,falsepositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,14,16
672,314131,7,6,initialaccess,benignpositive,cloudlogonrequest,related,289573,117668,3586,5,66,242,1445,10630,2024,6,7,10
392,312579,0,0,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,4,4,16,2024,6,10,13
41,1335250,7,6,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,10,17
533190,553471,9,32,execution,falsepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,15
